word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
Alw	الو	|l	آل	verb	|l	آل	arrive;lead;return_[ARAMORPH]+he;it_<verb>_it;him_[ARAMORPH]	None	None
Alw	الو	|l	آل	verb	|l	آل	arrive;lead;return_[ARAMORPH]+he;it_<verb>_it;him_[ARAMORPH]	None	None
Alw	الو	|l	آل	verb	|l	آل	arrive;lead;return_[ARAMORPH]+he;it_<verb>_it;him_[ARAMORPH]	None	None
mHsn	محسن	Hasan	حَسَن	noun_prop	Hasan	حَسَن	from_[CALIMA]+Hassan_[CALIMA]	None	None
hndAwY	هنداوى	dAwaY	داوَى	verb	dAwaY	داوَى	will_+_we_[ADAM]+be_treated;be_nursed_[ARAMORPH]	None	None
mfy$	مفيش	mifay~i$	مِفَيِّش	adj	mifay~i$	مِفَيِّش	TBA_[CALIMA]	None	None
Endk	عندك	Einod	عِنْد	noun	Einod	عِنْد	with;at_[CALIMA]+your_[CALIMA]	None	None
AHsAs	احساس	AiHosAs	اِحْساس	noun	AiHosAs	اِحْساس	feeling;sensitivity_[CALIMA]	None	None
Hsby	حسبي	Hasob	حَسْب	noun	Hasob	حَسْب	reckoning;calculation;according_to_[CALIMA]+my_[CALIMA]	None	None
Allh	الله	All~ah	اللَّه	noun_prop	All~ah	اللَّه	TBA_[CALIMA]	None	None
wnEm	ونعم	niEim	نِعِم	verb	niEim	نِعِم	and_[CALIMA]+bestow_favors;make_pleasant;gift_[CALIMA]+he;it_[CALIMA]	None	None
Alwkyl	الوكيل	wakiyl	وَكِيل	noun	wakiyl	وَكِيل	the_[CALIMA]+representative;agent;representatives;agents_[CALIMA]	None	None
bS	بص	baS~	بَصّ	verb	buS~	بُصّ	look;glow;sparkle_[CALIMA]+you_[CALIMA]	None	None
mn	من	min	مِن	prep	min	مِن	from_[CALIMA]	None	None
zmAn	زمان	zamAn	زَمان	noun	zamAn	زَمان	time;duration;times;durations_[CALIMA]	None	None
wAnA	وانا	AanA	اَنا	pron	AanA	اَنا	and_[CALIMA]+I;me_[CALIMA]	None	None
wAllh	والله	All~ah	اللَّه	noun_prop	All~ah	اللَّه	and;with_[CALIMA]+TBA_[CALIMA]	None	None
qwlt	قولت	qawlap	قَولَة	noun	qawl	قَول	remark_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
lnAs	لناس	nAs	ناس	noun	nAs	ناس	for;to_[CALIMA]+people_[CALIMA]	None	None
ktyr	كتير	kiviyr	كِثِير	adj	kitiyr	كِتِير	very;much;several;numerous;a_lot;alot;many_[CALIMA]	None	None
fY	فى	fiy	فِي	prep	fiy	فِي	in_[CALIMA]	None	None
Aljrwb	الجروب	juruwb	جُرُوب	noun	juruwb	جُرُوب	the_[CALIMA]+group_[CALIMA]	None	None
An	ان	<in~	إِنّ	conj_sub	<in~	إِنّ	if_[CALIMA]	None	None
AllY	اللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	which;who;whom_[CALIMA]	None	None
byHSl	بيحصل	HaSal	حَصَل	verb	HoSal	حْصَل	[present-tense]_+_he;it_[CALIMA]+obtain;acquire;get;be_obtained;be_acquired;occur;happen;take_place_[CALIMA]	None	None
dh	ده	dah	دَه	pron_dem	dah	دَه	that_[CALIMA]	None	None
m$	مش	mi$	مِش	part_neg	mi$	مِش	TBA_[CALIMA]	None	None
hAydwm	هايدوم	dAm	دام	verb	duwm	دُوم	will_+_he;it_[ADAM]+last;persevere;continue_[ARAMORPH]	None	None
mmkn	ممكن	mumokin	مُمْكِن	adj	mumokin	مُمْكِن	possible_[CALIMA]	None	None
ykwn	يكون	kAn	كان	verb	kuwn	كُون	he;it_[CALIMA]+be;was;were_[CALIMA]	None	None
AHnA	احنا	AiHonA	اِحْنا	pron	AiHonA	اِحْنا	we;us_[CALIMA]	None	None
lynA	لينا	li	لِ	prep	liynA	لِينا	to;him_(it;he_has);them;her_(it;she_has;they_have);for_[CALIMA]	None	None
Alyd	اليد	yad	يَد	noun	yad	يَد	the_[CALIMA]+hand;hands_[CALIMA]	None	None
AlEAlyp	العالية	EAliy	عالِي	adj	EAly	عالي	the_[CALIMA]+high;elevated_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
fY	فى	fiy	فِي	prep	fiy	فِي	in_[CALIMA]	None	None
AlqAhrp	القاهرة	qAhirap	قاهِرَة	noun_prop	qAhir	قاهِر	the_[CALIMA]+Cairo_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
lkn	لكن	lakin	لَكِن	conj	lakin	لَكِن	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
fY	فى	fiy	فِي	prep	fiy	فِي	in_[CALIMA]	None	None
AlmHAfZAt	المحافظات	muHAfaZap	مُحافَظَة	noun	muHAfaZ	مُحافَظ	the_[ARAMORPH]+protection_[ARAMORPH]+[fem.pl.]_[ARAMORPH]	None	None
wxSwSA	وخصوصا	xuSuwS	خُصُوص	noun	xuSuwS	خُصُوص	and_[CALIMA]+matter;issue;regard;respect;especially;in_particular_[CALIMA]+[acc.indef.]_[CALIMA]	None	None
bwrsEyd	بورسعيد	buwrosaEiyd	بُورْسَعِيد	noun_prop	buwrosaEiyd	بُورْسَعِيد	Port_Said_[CALIMA]	None	None
SEb	صعب	SaEob	صَعْب	adj	SaEob	صَعْب	difficult;hard;arduous_[CALIMA]	None	None
wAllY	واللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	and_[CALIMA]+which;who;whom_[CALIMA]	None	None
HSl	حصل	HaSal	حَصَل	verb	HaSal	حَصَل	obtain;acquire;get;be_obtained;be_acquired;occur;happen;take_place_[CALIMA]+he;it_[CALIMA]	None	None
mn	من	min	مِن	prep	min	مِن	from_[CALIMA]	None	None
tksyr	تكسير	takosiyr	تَكْسِير	noun	takosiyr	تَكْسِير	fragmentation;fracturing_[CALIMA]	None	None
dh	ده	dah	دَه	pron_dem	dah	دَه	that_[CALIMA]	None	None
hAytrd	هايترد	rad~	رَدّ	verb	torad~	تْرَدّ	will_+_he;it_[CALIMA]+answer;reply;return;be_returned;be_given_back_[CALIMA]	None	None
Elyh	عليه	EalaY	عَلَى	prep	Ealayh	عَلَيه	on;above_[CALIMA]	None	None
lAn	لان	<in~	إِنّ	conj_sub	li<in~	لِإِنّ	if_[CALIMA]	None	None
bwrsEyd	بورسعيد	buwrosaEiyd	بُورْسَعِيد	noun_prop	buwrosaEiyd	بُورْسَعِيد	Port_Said_[CALIMA]	None	None
mn	من	min	مِن	prep	min	مِن	from_[CALIMA]	None	None
sAEp	ساعة	sAEap	ساعَة	noun	sAE	ساع	hour;time;hours;clock;watch;timepiece;clocks;watches_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
syd	سيد	say~id	سَيِّد	noun_prop	say~id	سَيِّد	Sayed;Sayyid_[CALIMA]	None	None
mtwlY	متولى	wal~aY	وَلَّى	verb	wal~iy	وَلِّي	not_+_you_[CALIMA]+put_in_charge;entrust;commission;be_put_in_charge;be_entrusted_[CALIMA]	None	None
whY	وهى	hiy~a	هِيَّ	pron	hiy~a	هِيَّ	and_[CALIMA]+it;they;she_[CALIMA]	None	None
btEAnY	بتعانى	EAnaY	عانَى	verb	EAniy	عانِي	[present-tense]_+_it;they;she_[CALIMA]+suffer;be_suffered_[CALIMA]	None	None
mn	من	min	مِن	prep	min	مِن	from_[CALIMA]	None	None
tksyr	تكسير	takosiyr	تَكْسِير	noun	takosiyr	تَكْسِير	fragmentation;fracturing_[CALIMA]	None	None
wtxryb	وتخريب	taxoriyb	تَخْرِيب	noun	taxoriyb	تَخْرِيب	and_[CALIMA]+destruction;sabotage;terrorism_[CALIMA]	None	None
bs	بس	bas~	بَسّ	conj	bas~	بَسّ	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
mHd$	محدش	Had~	حَدّ	noun	Had~	حَدّ	not_[CALIMA]+stop;halt;end;extent;limit;level;border;frontier_[CALIMA]+not_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]+he;it_[CALIMA]	None	None
bysmE	بيسمع	simiE	سِمِع	verb	somaE	سْمَع	[present-tense]_+_they_[CALIMA]+have_listen;listen;make_hear;hear_[CALIMA]	None	None
wklh	وكله	kul~	كُلّ	noun_quant	kul~	كُلّ	and_[CALIMA]+all;entire;every;whole_[CALIMA]+his;its_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]+he;it_[CALIMA]	None	None
fAkr	فاكر	fAkir	فاكِر	adj	fAkir	فاكِر	remembering;thinking_[CALIMA]	None	None
Anh	انه	<in~	إِنّ	conj_sub	<in~uh	إِنُّه	if_[CALIMA]	None	None
kdp	كدة	kidah	كِدَه	noun	kidah	كِدَه	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
brns	برنس	borinos	بْرِنْس	noun_prop	borinos	بْرِنْس	Brins_[CALIMA]	None	None
AllyAlY	الليالى	layolap	لَيْلَة	noun	layAliy	لَيالِي	the_[ARAMORPH]+nights;evenings;soirees_[ARAMORPH]	None	None
wbyElm	وبيعلم	Eilim	عِلِم	verb	Eolam	عْلَم	and_+_[present-tense]_+_he;it_[CALIMA]+know;find_out_[CALIMA]	None	None
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above_[CALIMA]	None	None
AY	اى	>ay~	أَيّ	noun_quant	>ay~	أَيّ	any_[CALIMA]	None	None
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt;end;extent;limit;level;border;frontier_[CALIMA]	None	None
wmkAn$	ومكانش	kAn	كان	verb	kAn	كان	and_+_not_[CALIMA]+be;was;were_[CALIMA]+he;it_+_not_[CALIMA]	None	None
mSdq	مصدق	miSad~aq	مِصَدَّق	adj	miSad~aq	مِصَدَّق	credible;believing;believed_[CALIMA]	None	None
An	ان	<in~	إِنّ	conj_sub	<in~	إِنّ	if_[CALIMA]	None	None
mmkn	ممكن	mumokin	مُمْكِن	adj	mumokin	مُمْكِن	possible_[CALIMA]	None	None
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt;end;extent;limit;level;border;frontier_[CALIMA]	None	None
